id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
6207458498,72727.43000000,0.00008000,5.81819440,1775917111165,True,True
6207458499,72727.24000000,0.00007000,5.09090680,1775917111165,True,True
6207458500,72726.92000000,0.00008000,5.81815360,1775917111165,True,True
6207458501,72726.92000000,0.00008000,5.81815360,1775917111165,True,True
6207458502,72726.92000000,0.00008000,5.81815360,1775917111165,True,True
6207458503,72726.91000000,0.02000000,1454.53820000,1775917111165,True,True
6207458504,72726.84000000,0.00008000,5.81814720,1775917111165,True,True
6207458505,72726.58000000,0.00008000,5.81812640,1775917111165,True,True
6207458506,72726.58000000,0.00008000,5.81812640,1775917111165,True,True
6207458507,72726.58000000,0.00008000,5.81812640,1775917111165,True,True
6207458508,72726.58000000,0.00007000,5.09086060,1775917111552,False,True
6207458509,72726.57000000,0.00007000,5.09085990,1775917111698,True,True
6207458510,72726.57000000,0.00001000,0.72726570,1775917111698,True,True
6207458511,72726.57000000,0.00007000,5.09085990,1775917111914,True,True
6207458512,72726.57000000,0.00224000,162.90751680,1775917111914,True,True
6207458513,72726.57000000,0.00022000,15.99984540,1775917112944,True,True
6207458514,72726.58000000,0.00104000,75.63564320,1775917114133,False,True
6207458515,72726.58000000,0.00097000,70.54478260,1775917114570,False,True
6207458516,72726.57000000,0.00338000,245.81580660,1775917114895,True,True
